"gender" "points" "attitude" "age" "deep" "stra" "surf"
"1" "F" 25 3.7 53 3.58333333333333 3.375 2.58333333333333
"2" "M" 12 3.1 55 2.91666666666667 2.75 3.16666666666667
"3" "F" 24 2.5 49 3.5 3.625 2.25
"4" "M" 10 3.5 53 3.5 3.125 2.25
"5" "M" 22 3.7 49 3.66666666666667 3.625 2.83333333333333
"6" "F" 21 3.8 38 4.75 3.625 2.41666666666667
"7" "M" 21 3.5 50 3.83333333333333 2.25 1.91666666666667
"8" "F" 31 2.9 37 3.25 4 2.83333333333333
"9" "M" 24 3.8 37 4.33333333333333 4.25 2.16666666666667
"10" "F" 26 2.1 42 4 3.5 3
"11" "M" 31 3.9 37 3.58333333333333 3.625 2.66666666666667
"12" "F" 31 3.8 34 3.83333333333333 4.75 2.41666666666667
"13" "F" 23 2.4 34 4.25 3.625 2.25
"14" "F" 25 3 34 3.33333333333333 3.5 2.75
"15" "M" 21 2.6 35 4.16666666666667 1.75 2.33333333333333
"17" "F" 31 4.1 33 3.66666666666667 3.875 2.33333333333333
"18" "F" 20 2.6 32 4.08333333333333 1.375 2.91666666666667
"19" "F" 22 2.6 44 3.5 3.25 2.5
"20" "M" 9 1.7 29 4.08333333333333 3 3.75
"21" "F" 24 2.7 30 4 3.75 2.75
"22" "M" 28 3.9 27 3.91666666666667 2.625 2.33333333333333
"23" "M" 30 3.4 29 4 2.375 2.41666666666667
"24" "F" 24 2.7 31 4 3.625 3
"25" "F" 9 2.3 37 3.66666666666667 2.75 2.41666666666667
"26" "F" 26 3.7 26 3.66666666666667 1.75 2.83333333333333
"27" "F" 32 4.4 26 4.41666666666667 3.25 3.16666666666667
"28" "M" 32 4.1 30 3.91666666666667 4 3
"30" "F" 33 3.7 33 3.75 3.625 2
"31" "F" 29 2.5 33 3.25 2.875 3.5
"32" "M" 30 3 28 3.58333333333333 3 3.75
"33" "M" 19 3.4 26 4.91666666666667 1.625 2.5
"34" "F" 23 3.2 27 3.58333333333333 3.25 2.08333333333333
"35" "F" 19 2 25 2.91666666666667 3.5 2.41666666666667
"36" "F" 12 2.4 31 3.66666666666667 3 2.58333333333333
"37" "M" 10 4.2 20 4.5 3.25 1.58333333333333
"38" "F" 11 1.6 39 4.08333333333333 1.875 2.83333333333333
"39" "M" 20 3.1 38 3.83333333333333 4.375 1.83333333333333
"40" "M" 26 3.8 24 3.25 3.625 2.41666666666667
"41" "M" 31 3.8 26 2.33333333333333 2.5 3.25
"42" "M" 20 3.3 25 3.33333333333333 1.25 3.41666666666667
"43" "F" 23 1.7 30 4.08333333333333 4 3.41666666666667
"44" "F" 12 2.5 25 2.91666666666667 3 3.16666666666667
"45" "M" 24 3.2 30 3.33333333333333 2.5 3.5
"46" "F" 17 3.5 48 3.83333333333333 4.875 2.66666666666667
"47" "F" 29 3.2 24 3.66666666666667 5 2.41666666666667
"48" "F" 23 4.2 40 4.66666666666667 4.375 3.58333333333333
"49" "M" 28 3.1 25 3.75 3.25 2.08333333333333
"50" "F" 31 3.9 23 3.41666666666667 4 3.75
"51" "F" 23 1.9 25 4.16666666666667 3.125 2.91666666666667
"52" "F" 25 2.1 23 2.91666666666667 2.5 2.91666666666667
"53" "M" 18 2.5 27 4.16666666666667 3.125 2.41666666666667
"54" "M" 19 3.2 25 3.58333333333333 3.25 3
"55" "M" 22 3.2 23 2.83333333333333 2.125 3.41666666666667
"56" "F" 25 2.6 23 4 2.75 2.91666666666667
"57" "F" 21 2.3 23 2.91666666666667 2.375 3.25
"58" "F" 9 3.8 45 3 3.125 3.25
"59" "F" 28 2.8 22 4.08333333333333 4 2.33333333333333
"60" "F" 25 3.3 23 2.91666666666667 4 3.25
"61" "M" 29 4.8 21 3.5 2.25 2.5
"62" "M" 33 4 21 4.33333333333333 3.25 1.75
"63" "F" 33 4 21 4.25 3.625 2.25
"64" "F" 25 4.7 21 3.41666666666667 3.625 2.08333333333333
"65" "F" 18 2.3 26 3.08333333333333 2.5 2.83333333333333
"66" "F" 22 3.1 25 4.58333333333333 1.875 2.83333333333333
"67" "F" 17 2.7 26 3.41666666666667 2 2.41666666666667
"68" "M" 25 4.1 21 3.41666666666667 1.875 2.25
"70" "F" 28 3.4 23 3.41666666666667 4 2.83333333333333
"71" "F" 22 2.5 22 3.58333333333333 2.875 2.25
"72" "F" 26 2.1 22 1.58333333333333 3.875 1.83333333333333
"73" "F" 11 1.4 22 3.33333333333333 2.5 2.91666666666667
"74" "F" 29 1.9 23 4.33333333333333 2.75 2.91666666666667
"75" "M" 22 3.7 22 4.41666666666667 4.5 2.08333333333333
"77" "M" 21 3.2 23 4.83333333333333 3.375 2.33333333333333
"78" "M" 28 2.8 24 3.08333333333333 2.625 2.41666666666667
"79" "F" 33 4.1 22 3 4.125 2.75
"80" "F" 16 2.5 23 4.08333333333333 2.625 3.25
"81" "M" 31 2.8 22 4.08333333333333 2.25 1.75
"82" "M" 22 3.8 20 3.75 2.75 2.58333333333333
"83" "M" 31 3.1 22 3.08333333333333 3 3.33333333333333
"84" "M" 23 3.5 21 4.75 1.625 2.83333333333333
"85" "F" 26 3.6 22 4.25 1.875 2.5
"86" "F" 12 2.6 23 4.16666666666667 3.375 2.41666666666667
"87" "M" 26 4.4 21 4.41666666666667 3.75 2.41666666666667
"88" "M" 31 4.5 22 3.83333333333333 2.125 2.58333333333333
"89" "M" 19 3.2 29 3.33333333333333 2.375 3
"91" "F" 30 3.9 29 3.16666666666667 2.75 2
"92" "F" 12 2.5 21 3.16666666666667 3.125 3.41666666666667
"93" "M" 17 3.3 28 3.83333333333333 3.5 2.83333333333333
"95" "F" 18 3.3 21 4.25 2.625 2.25
"96" "F" 19 3 30 3.83333333333333 3.375 2.75
"97" "F" 21 2.9 21 3.66666666666667 2.25 3.91666666666667
"98" "M" 24 3.3 23 3.83333333333333 3 2.33333333333333
"99" "F" 28 3.3 21 3.83333333333333 4 2.75
"100" "F" 17 3.5 21 3.83333333333333 3.5 2.75
"101" "F" 18 3.6 20 3.66666666666667 2.625 2.91666666666667
"103" "M" 17 3.7 22 4.33333333333333 2.5 2.08333333333333
"105" "M" 23 4.2 21 3.75 3.75 3.66666666666667
"107" "M" 26 3.2 21 4.16666666666667 3.625 2.83333333333333
"108" "F" 28 5 20 4 4.125 3.41666666666667
"109" "M" 31 4.7 22 4 4.375 1.58333333333333
"110" "F" 27 3.6 20 4.58333333333333 2.625 2.91666666666667
"111" "F" 25 3.6 20 3.66666666666667 4 3
"112" "M" 23 2.9 24 3.66666666666667 2.75 2.91666666666667
"113" "F" 21 3.5 20 3.83333333333333 2.75 2.66666666666667
"114" "F" 27 4 19 2.58333333333333 1.375 3
"115" "F" 28 3.5 21 3.5 2.25 2.75
"116" "F" 23 3.2 21 3.08333333333333 3.625 3.08333333333333
"117" "F" 21 2.6 22 4.25 3.75 2.5
"118" "F" 25 2 25 3.16666666666667 4 2.33333333333333
"119" "F" 11 2.7 21 3.08333333333333 3.125 3
"120" "F" 19 3.2 22 4.16666666666667 3.25 3
"121" "F" 24 3.3 25 2.25 2.125 4
"122" "F" 28 3.9 20 3.33333333333333 2.875 3.25
"123" "M" 21 3.3 24 3.08333333333333 1.5 3.5
"124" "F" 24 3 20 2.75 2.5 3.5
"125" "M" 24 3.7 21 3.25 3.25 3.83333333333333
"128" "F" 20 2.5 20 4 3.625 2.91666666666667
"129" "F" 19 2.9 20 3.58333333333333 3.875 2.16666666666667
"130" "M" 30 3.9 31 4.08333333333333 3.875 1.66666666666667
"131" "F" 22 3.6 20 4.25 2.375 2.08333333333333
"132" "F" 16 2.9 22 3.41666666666667 3 2.83333333333333
"133" "F" 16 2.1 22 3.08333333333333 3.375 3.41666666666667
"134" "M" 19 3.1 21 3.5 2.75 3.33333333333333
"136" "M" 30 4 22 3.66666666666667 4.5 2.58333333333333
"137" "F" 23 3.1 21 4.25 2.625 2.83333333333333
"138" "F" 19 2.3 21 4.25 2.75 3.33333333333333
"139" "F" 18 2.8 21 3.83333333333333 3.25 3
"140" "F" 28 3.7 21 4.41666666666667 4.125 2.58333333333333
"141" "F" 21 2.6 20 3.5 3.375 2.41666666666667
"142" "F" 19 2.4 21 3.58333333333333 2.75 3.58333333333333
"143" "F" 27 3 25 3.66666666666667 4.125 2.08333333333333
"146" "M" 24 2.8 21 2.08333333333333 3.25 4.33333333333333
"147" "F" 21 2.9 24 4.25 2.875 2.66666666666667
"148" "F" 20 2.4 20 3.58333333333333 2.875 3
"149" "M" 28 3.1 21 4 2.375 2.66666666666667
"150" "F" 12 1.9 20 3.33333333333333 3.875 2.16666666666667
"151" "F" 21 2 20 3.5 2.125 2.66666666666667
"152" "F" 28 3.8 18 3.16666666666667 4 2.25
"153" "F" 31 3.4 21 3.58333333333333 3.25 2.66666666666667
"154" "F" 18 3.7 19 3.41666666666667 2.625 3.33333333333333
"155" "F" 25 2.9 21 4.25 2.75 3.5
"156" "F" 19 2.3 20 3.25 4 2.75
"157" "M" 21 4.1 21 4.41666666666667 3 2
"158" "F" 16 2.7 20 3.25 3.375 2.83333333333333
"159" "F" 7 3.5 21 3.91666666666667 3.875 3.5
"160" "F" 21 3.4 20 3.58333333333333 3.25 2.5
"161" "F" 17 3.2 18 4.5 3.375 3.16666666666667
"162" "M" 22 3.3 22 3.58333333333333 4.125 3.08333333333333
"163" "F" 18 3.3 22 3.66666666666667 3.5 2.91666666666667
"164" "M" 25 3.5 24 2.58333333333333 2 3.16666666666667
"165" "F" 24 3.2 19 4.16666666666667 3.625 2.5
"166" "F" 23 3.1 20 3.25 3.375 3.83333333333333
"168" "F" 23 2.8 20 4.33333333333333 2.125 2.25
"169" "F" 26 1.7 17 3.91666666666667 4.625 3.41666666666667
"170" "M" 12 1.9 19 2.66666666666667 2.5 3.75
"172" "F" 32 3.5 20 3.08333333333333 2.875 3
"173" "F" 22 2.4 20 3.75 2.75 2.58333333333333
"175" "F" 20 2.1 20 4.16666666666667 4 3.33333333333333
"176" "F" 21 2.9 20 4.16666666666667 2.375 2.83333333333333
"177" "F" 23 1.9 19 3.25 3.875 3
"178" "F" 20 2 19 4.08333333333333 3.375 2.83333333333333
"179" "F" 28 4.2 22 2.91666666666667 1.75 3.16666666666667
"180" "M" 31 4.1 35 3.83333333333333 3 2.75
"181" "F" 18 3.7 18 3.16666666666667 2.625 3.41666666666667
"182" "F" 30 3.6 19 3.41666666666667 2.625 3
"183" "M" 19 1.8 21 4.08333333333333 3.375 2.66666666666667
